# store | sku | requested_units | note
Nandi Fresh | oil_1l | 84 | Deepavali families asking for extra edible oil
Nandi Fresh | atta_5kg | 58 | salary week lift expected
Annapurna Stores | sweets_box | 120 | bulk gifting demand from apartments
Annapurna Stores | oil_1l | 72 | owner asks for festival credit
Metro Mini Mart | snack_pack | 160 | PG students buying evening snacks
Metro Mini Mart | sweets_box | 56 | lower credit comfort
Lakshmi Provision | atta_5kg | 76 | trusted store, asks for early delivery
Lakshmi Provision | oil_1l | 68 | wants more stock before rain
Shree Corner | snack_pack | 88 | customers mostly UPI
Shree Corner | sweets_box | 44 | current payments delayed
